level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00237	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K25801	SDH4	succinate dehydrogenase (ubiquinone) subunit 4	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00239	sdhA, frdA	succinate dehydrogenase flavoprotein subunit	1.3.5.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00240	sdhB, frdB	succinate dehydrogenase iron-sulfur subunit	1.3.5.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00241	sdhC, frdC	succinate dehydrogenase cytochrome b subunit	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00242	sdhD, frdD	succinate dehydrogenase membrane anchor subunit	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K18859	sdhD, frdD	succinate dehydrogenase subunit D	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K18860	sdhD, frdD	succinate dehydrogenase subunit D	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00244	frdA	succinate dehydrogenase flavoprotein subunit	1.3.5.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00245	frdB	succinate dehydrogenase iron-sulfur subunit	1.3.5.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00246	frdC	succinate dehydrogenase subunit C	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00247	frdD	succinate dehydrogenase subunit D	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00233	frdA, fdrA	succinate dehydrogenase flavoprotein subunit	1.3.5.1 7.1.1.12
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K25995	frdB, fdrB	succinate dehydrogenase iron-sulfur subunit	1.3.5.1 7.1.1.12
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K25996	frdC, fdrC	succinate dehydrogenase subunit C	NA
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K26318	fccA, fcc3	fumarate reductase (cytochrome)	1.3.2.4
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01676	E4.2.1.2A, fumA, fumB	fumarate hydratase, class I	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01677	E4.2.1.2AA, fumA	fumarate hydratase subunit alpha	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01678	E4.2.1.2AB, fumB	fumarate hydratase subunit beta	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01679	E4.2.1.2B, fumC, FH	fumarate hydratase, class II	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01675	fumD	fumarate hydratase D	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01774	fumE	fumarate hydratase E	4.2.1.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00025	MDH1	malate dehydrogenase	1.1.1.37
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00026	MDH2	malate dehydrogenase	1.1.1.37
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00024	mdh	malate dehydrogenase	1.1.1.37
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00116	mqo	malate dehydrogenase (quinone)	1.1.5.4
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01958	PC, pyc	pyruvate carboxylase	6.4.1.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01959	pycA	pyruvate carboxylase subunit A	6.4.1.1
